ticker;nome;gruppo_attuale;settore_proposto
AIAA.MI;WisdomTree AI & Tech ETF;ai_tech;AI_TECH
AIAI.MI;L&G Artificial Intelligence ETF;ai_tech;AI_TECH
AI4UJ.MI;iShares Automation & Robotics;ai_tech;ROBOTICA
AINF.MI;iShares AI Infrastructure UCITS ETF;ai_tech;AI_TECH
AIQE.MI;iShares AI Equity ETF;ai_tech;AI_TECH
GOAI.MI;Invesco MSCI World ESG UCITS ETF;ai_tech;DROP_FATTORIALE
WTAI.MI;WisdomTree AI ETF;ai_tech;AI_TECH
JEDI.MI;Amundi MSCI AI ETF;ai_tech;AI_TECH
XSGI.MI;Xtrackers AI & Big Data ETF;ai_tech;AI_TECH
GDIG.MI;iShares Digital Security ETF;ai_tech;CYBERSECURITY
DGTL.MI;Rize Digital Economy ETF;ai_tech;DIGITALE_ECOMMERCE_FINTECH
CLOU.MI;WisdomTree Cloud Computing ETF;ai_tech;AI_TECH
CTEK.MI;Amundi PEA Digital Economy;ai_tech;DIGITALE_ECOMMERCE_FINTECH
XCTE.MI;Xtrackers Cybersecurity ETF;ai_tech;CYBERSECURITY
XDER.MI;Xtrackers Digital Enablers ETF;ai_tech;DIGITALE_ECOMMERCE_FINTECH
FAMTEL.MI;Fineco AM MSCI World IT Sustainable UCITS ETF;ai_tech;AI_TECH
ARMI.MI;VanEck Defense ETF;difesa;DIFESA
ARMR.MI;Amundi Future of Defence ETF;difesa;DIFESA
DFND.MI;Rize Defence Innovation ETF;difesa;DIFESA
DFNS.MI;HANetf Future of Defence ETF;difesa;DIFESA
WDEF.MI;WisdomTree Defence ETF;difesa;DIFESA
LOCK.MI;iShares Aerospace & Defence ETF;difesa;DIFESA
BUG.MI;Global X Cybersecurity ETF;difesa;CYBERSECURITY
CYBO.MI;Ossiam Cyber Security ETF;difesa;CYBERSECURITY
WCBR.MI;WisdomTree Cybersecurity ETF;difesa;CYBERSECURITY
VPN.MI;Global X Data Center ETF;difesa;INFRASTRUTTURE
ICBR.MI;iShares Cyber Security & Tech UCITS ETF;difesa;CYBERSECURITY
FAMMAI.MI;Fineco AM MSCI ACWI Cyber Security UCITS ETF;difesa;CYBERSECURITY
ISPY.MI;L&G Cyber Security UCITS ETF;difesa;CYBERSECURITY
RENW.MI;HANetf S&P Global Clean Energy;energia;ENERGIA_RINNOVABILE
RNRG.MI;Rize Sustainable Future Energy;energia;ENERGIA_RINNOVABILE
REUS.MI;Amundi MSCI New Energy ETF;energia;ENERGIA_RINNOVABILE
SOLR.MI;Global X Solar Energy ETF;energia;ENERGIA_RINNOVABILE
HDRO.MI;HANetf Hydrogen Economy ETF;energia;ENERGIA_RINNOVABILE
HTWO.MI;L&G Hydrogen Economy ETF;energia;ENERGIA_RINNOVABILE
HYGN.MI;VanEck Hydrogen Economy ETF;energia;ENERGIA_RINNOVABILE
VOLT.MI;Amundi MSCI New Energy Transition;energia;ENERGIA_RINNOVABILE
ELCR.MI;iShares Global Clean Energy ETF;energia;ENERGIA_RINNOVABILE
WNDE.MI;WisdomTree New Energy ETF;energia;ENERGIA_RINNOVABILE
WNDY.MI;WisdomTree Wind Energy ETF;energia;ENERGIA_RINNOVABILE
WRNW.MI;WisdomTree Renewable Energy ETF;energia;ENERGIA_RINNOVABILE
NRJC.MI;Amundi Energy Transition ETF;energia;ENERGIA_RINNOVABILE
EEA.MI;iShares MSCI Europe ESG ETF;energia;DROP_FATTORIALE
GCLE.MI;iShares Global Clean Energy UCITS;energia;ENERGIA_RINNOVABILE
NCLR.MI;VanEck Uranium & Nuclear ETF;energia;NUCLEARE_URANIO
NUCL.MI;Sprott Uranium Miners ETF;energia;NUCLEARE_URANIO
U3O8.MI;Global X Uranium ETF;energia;NUCLEARE_URANIO
URNJ.MI;Sprott Junior Uranium Miners ETF;energia;NUCLEARE_URANIO
OIH.MI;VanEck Oil Services ETF;energia;ENERGIA_FOSSILE
XNGI.MI;Xtrackers MSCI World Energy ETF;energia;SETTORE_AMPIO_VALUTARE
ICLN;iShares Global Clean Energy USD;energia;ENERGIA_RINNOVABILE
HEAL.MI;iShares Healthcare Innovation ETF;salute;SALUTE_BIOTECH
BIOT.MI;iShares Nasdaq Biotechnology;salute;SALUTE_BIOTECH
CURE.MI;Global X Genomics & Biotechnology;salute;SALUTE_BIOTECH
DOCT.MI;Amundi MSCI Healthcare ETF;salute;SALUTE_BIOTECH
GNOM.MI;iShares Genomics Immunology ETF;salute;SALUTE_BIOTECH
WDNA.MI;WisdomTree Biorevolution ETF;salute;SALUTE_BIOTECH
GENDEE.MI;Rize Medical Technology ETF;salute;SALUTE_BIOTECH
EDOC.MI;Global X Telemedicine ETF;salute;SALUTE_BIOTECH
AGED.MI;iShares Ageing Population ETF;salute;SALUTE_BIOTECH
XGEN.MI;Xtrackers MSCI World Health;salute;SALUTE_BIOTECH
XNNV.MI;Xtrackers Artificial Intelligence;salute;AI_TECH
LABL.MI;WisdomTree Food Innovation ETF;salute;AGRIFOOD
BKCH.MI;Global X Blockchain ETF;crypto;CRYPTO_BLOCKCHAIN
BTC.MI;ETC Group Physical Bitcoin;crypto;CRYPTO_BLOCKCHAIN
DAPP.MI;VanEck Crypto & Blockchain Innovators;crypto;CRYPTO_BLOCKCHAIN
WEB3.MI;Bitwise Web3 ETF;crypto;CRYPTO_BLOCKCHAIN
BTECH.MI;iShares Blockchain Technology ETF;crypto;CRYPTO_BLOCKCHAIN
BTECJ.MI;iShares Blockchain JPY Hedged;crypto;CRYPTO_BLOCKCHAIN
BLTH.MI;Invesco CoinShares Blockchain ETF;crypto;CRYPTO_BLOCKCHAIN
ECAR.MI;iShares Electric Vehicles ETF;mobilita;MOBILITA_EV
EMOVE.MI;Amundi Future Mobility ETF;mobilita;MOBILITA_EV
EMOVJ.MI;Amundi Future Mobility JPY Hedged;mobilita;MOBILITA_EV
DRVE.MI;Rize Electric Vehicle ETF;mobilita;MOBILITA_EV
AUCO.MI;L&G Eaton Vance Automation ETF;mobilita;ROBOTICA
BATT.MI;Global X Lithium & Battery Tech;mobilita;MOBILITA_EV
LITU.MI;WisdomTree Battery Solutions ETF;mobilita;MOBILITA_EV
LITM.MI;iShares Lithium & Battery ETF;mobilita;MOBILITA_EV
INFR.MI;iShares Global Infrastructure ETF;infrastrutture;INFRASTRUTTURE
PAVE.MI;Global X US Infrastructure ETF;infrastrutture;INFRASTRUTTURE
EPRA.MI;iShares Developed Markets Property Yield;infrastrutture;INFRASTRUTTURE
EPRE.MI;SPDR Global Real Estate ETF;infrastrutture;INFRASTRUTTURE
SCITY.MI;iShares Smart City Infrastructure;infrastrutture;INFRASTRUTTURE
